variable;lower;upper;distribution;label;Description;Source-Link;;
subsidies_pv;;;const;Subsidies [€/ha];Subsidies for area of Agriphotovoltaik;;;
investment_cost_pv;;;posnorm;investment cost pv  [€/ha];Investment cost of the APV System;;;
profit_pv;;;posnorm;profits of pv  [€/ha];additionall Profits of the APV System - selling Energy;;;
annual_cost_pv;;;posnorm;annual cost pv  [€/ha];annual cost of the APV System;;;
yield_loss_pv ;;;posnorm;Yield loss of crops [%];Yield loss through smaller arable land area ;;;
social_pv;;;posnorm;Occurrence [%];social acceptance of the population as a co-criterion ;;;
weather_pv;;;posnorm;Occurrence [%];Possibility that an extrem weather occures ;;;
decreaseW_pv;;;posnorm;damage [€/ha];monetary damage of the weather event ;;;
fluctuation_pv;;;posnorm;Price fluctuation of energy[€/ha];Energy has a possibility of high price flucuation ;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
crop_revenue;672.99;2190.987;posnorm;Yield of crop [€/ha];Average yearly crop revenue. Contains revenue sum of crop rotation of winter wheat, spring barley and winter rape, devided by number of years (3);"Langenberg, J., Feldmann, M., Theuvsen, L., 2018. Agroforstsysteme im Alley-Cropping-Anbauverfahren:  
Eine Risikoanalyse im Vergleich zum klassischen Ackerbau 
anhand der Monte-Carlo-Simulation. GJAE 67(2), 95-112";;
crop_cost;603.6667;1209;posnorm;cost for cultivation of arable crops [€/ha];Average yearly crop cultivation cost. Contains cost sum of crop rotation of winter wheat, spring barley and winter rape, devided by number of years (3);"Langenberg, J., Feldmann, M., Theuvsen, L., 2018. Agroforstsysteme im Alley-Cropping-Anbauverfahren:  
Eine Risikoanalyse im Vergleich zum klassischen Ackerbau 
anhand der Monte-Carlo-Simulation. GJAE 67(2), 95-112";;
;;;;;;;;
yield_loss_af;2;35;posnorm;Yield loss of crops [%];Yield loss through smaller arable land area ;;;
field_preparation;45;170;posnorm;preparation of field [€/ha];Preparation includes herbicide, soil preparation, soil cultivation (ONE TIME EXENDITURE);https://www.lignovis.com/fileadmin/user_upload/PDF/Ext/2013_08_Energieholz_aus_Kurzumtriebsplantagen_ETI_Brandenburg.pdf;;
price_cuttings;0.1;1.9;posnorm;price per cutting [€/piece];Poplar cuttings, 20cm long, prices depend on quantity bought and size (20cm - 1m) (ONE TIME EXPENDITURE);https://www.lignovis.com/fileadmin/user_upload/PDF/Ext/2013_08_Energieholz_aus_Kurzumtriebsplantagen_ETI_Brandenburg.pdf;https://www.energiepflanzen.com/product/max-4-japan-105-pappeln-ruten-und-stecklinge/;https://www.lignoplant.com/pflanzgut-shop/pappelpflanzgut.html#Max
planting_cost;0.04;0.09;posnorm;average price for planting of poplar cuttings;(ONE TIME EXPENDITURE);https://www.lignovis.com/fileadmin/user_upload/PDF/Ext/2013_08_Energieholz_aus_Kurzumtriebsplantagen_ETI_Brandenburg.pdf;LEL Gmünd;
